Sample Id,#Reads,Read Mean Length,#Q20 Bases,#Q30 Bases,%GC
4A0713_T_S18_R1_001.fastq.gz,33148915,151,4938135481 (98.65%),4760113381 (95.1%),46.2
4A0713_T_S18_R2_001.fastq.gz,33148915,151,4793359156 (95.76%),4497088625 (89.84%),46.03
4A0756_T_S19_R1_001.fastq.gz,34921757,151,5202998094 (98.67%),5015840316 (95.12%),46.01
4A0756_T_S19_R2_001.fastq.gz,34921757,151,5077866395 (96.3%),4764743364 (90.36%),45.94
4A0882_T_S20_R1_001.fastq.gz,36502027,151,5437629296 (98.65%),5240983738 (95.09%),46.96
4A0882_T_S20_R2_001.fastq.gz,36502027,151,5300552241 (96.17%),4971850567 (90.2%),46.89
4A0883_T_S21_R1_001.fastq.gz,32951699,151,4907163170 (98.62%),4730600817 (95.07%),47.05
4A0883_T_S21_R2_001.fastq.gz,32951699,151,4773592271 (95.94%),4447045977 (89.38%),46.91
TZL-1A0001P1_P_RTRL_S1_R1_001.fastq.gz,43153912,151,6413143552 (98.42%),6152457925 (94.42%),48.71
TZL-1A0001P1_P_RTRL_S1_R2_001.fastq.gz,43153912,151,6225538329 (95.54%),5787105695 (88.81%),49.74
TZL-1A0002P_RTRL_S2_R1_001.fastq.gz,37682302,151,5618167389 (98.74%),5420568465 (95.26%),46.77
TZL-1A0002P_RTRL_S2_R2_001.fastq.gz,37682302,151,5474821455 (96.22%),5139979237 (90.33%),46.75
TZL-1A0003P_RTRL_S3_R1_001.fastq.gz,39790515,151,5925771689 (98.63%),5708881105 (95.02%),47.55
TZL-1A0003P_RTRL_S3_R2_001.fastq.gz,39790515,151,5728542909 (95.34%),5348087748 (89.01%),47.68
TZL-1A0004P_RTRL_S4_R1_001.fastq.gz,30454939,151,4533326217 (98.58%),4361547612 (94.84%),45.51
TZL-1A0004P_RTRL_S4_R2_001.fastq.gz,30454939,151,4415086745 (96.01%),4144853286 (90.13%),45.65
TZL-1A0005P_RTRL_S5_R1_001.fastq.gz,39248200,151,5846777886 (98.66%),5634149355 (95.07%),45.45
TZL-1A0005P_RTRL_S5_R2_001.fastq.gz,39248200,151,5686201715 (95.95%),5316652347 (89.71%),45.59
TZL-1A0006P_RTRL_S6_R1_001.fastq.gz,25020173,151,3724940920 (98.59%),3584205881 (94.87%),45.52
TZL-1A0006P_RTRL_S6_R2_001.fastq.gz,25020173,151,3633647431 (96.18%),3398111116 (89.94%),45.88
TZL-1A0007P_RTRL_S7_R1_001.fastq.gz,22575267,151,3358092635 (98.51%),3225795041 (94.63%),44.62
TZL-1A0007P_RTRL_S7_R2_001.fastq.gz,22575267,151,3264847155 (95.78%),3036965684 (89.09%),44.95
TZL-1A0008P_RTRL_S8_R1_001.fastq.gz,30308927,151,4516257084 (98.68%),4353941113 (95.13%),45.57
TZL-1A0008P_RTRL_S8_R2_001.fastq.gz,30308927,151,4394647123 (96.02%),4119814954 (90.02%),45.71
TZL-1A0009P_RTRL_S9_R1_001.fastq.gz,38492393,151,5731055535 (98.6%),5516242863 (94.91%),45.22
TZL-1A0009P_RTRL_S9_R2_001.fastq.gz,38492393,151,5566946973 (95.78%),5202988859 (89.52%),45.49
TZL-1A0010P_RTRL_S10_R1_001.fastq.gz,32949536,151,4905288421 (98.59%),4724130829 (94.95%),44.93
TZL-1A0010P_RTRL_S10_R2_001.fastq.gz,32949536,151,4768845136 (95.85%),4463173938 (89.71%),45.15
TZL-1A0011P_RTRL_S11_R1_001.fastq.gz,34257601,151,5104209407 (98.67%),4920155450 (95.11%),44.39
TZL-1A0011P_RTRL_S11_R2_001.fastq.gz,34257601,151,4975320083 (96.18%),4665507368 (90.19%),44.51
TZL-1A0012P_RTRL_S12_R1_001.fastq.gz,36480152,151,5437772542 (98.72%),5245667023 (95.23%),46.18
TZL-1A0012P_RTRL_S12_R2_001.fastq.gz,36480152,151,5270438382 (95.68%),4938781231 (89.66%),46.26
TZL-1A0013P_RTRL_S13_R1_001.fastq.gz,36751691,151,5475482771 (98.67%),5277078209 (95.09%),45.67
TZL-1A0013P_RTRL_S13_R2_001.fastq.gz,36751691,151,5319279438 (95.85%),4986095009 (89.85%),45.85
TZL-1A0014P_RTRL_S14_R1_001.fastq.gz,37991365,151,5664174483 (98.74%),5466738038 (95.29%),46.58
TZL-1A0014P_RTRL_S14_R2_001.fastq.gz,37991365,151,5490617795 (95.71%),5142787573 (89.65%),46.75
TZL-1A0015P_RTRL_S15_R1_001.fastq.gz,41145196,151,6125683378 (98.6%),5896258020 (94.9%),46
TZL-1A0015P_RTRL_S15_R2_001.fastq.gz,41145196,151,5960300450 (95.93%),5577265711 (89.77%),46.36
TZL-1A0016P_RTRL_S16_R1_001.fastq.gz,40414238,151,6021786819 (98.68%),5805808398 (95.14%),45.71
TZL-1A0016P_RTRL_S16_R2_001.fastq.gz,40414238,151,5823253613 (95.42%),5441582553 (89.17%),45.83
TZL-1A0017P_RTRL_S17_R1_001.fastq.gz,45217277,151,6734295978 (98.63%),6488999591 (95.04%),45.81
TZL-1A0017P_RTRL_S17_R2_001.fastq.gz,45217277,151,6539453020 (95.78%),6115366230 (89.57%),45.99
