Sample Id,#Reads,#Bases,Read Mean Length,#Q20 Bases,#Q30 Bases,%GC
Ko_CTR_3_S79_L002_R1_001.fastq.gz,1820267,274860317,151,266433781 (96.93%),254278551 (92.51%),65.48
Ko_AZM_2_S81_L002_R1_001.fastq.gz,2377585,359015335,151,344301360 (95.9%),328435921 (91.48%),64.72
P2_S11_S69_L002_R2_001.fastq.gz,38858923,5867697373,151,5636321695 (96.06%),5295573976 (90.25%),48.48
P2_S14_S72_L002_R1_001.fastq.gz,37177926,5613866826,151,5454051647 (97.15%),5211511284 (92.83%),46.79
Ko_Rif_1_S82_L002_R1_001.fastq.gz,2313603,349354053,151,328967029 (94.16%),312302878 (89.39%),62.99
Ko_Rif_1_S82_L002_R2_001.fastq.gz,2313603,349354053,151,323402950 (92.57%),301039893 (86.17%),62.18
P2_S12_S70_L002_R2_001.fastq.gz,39823079,6013284929,151,5778254972 (96.09%),5435552778 (90.39%),47.38
P2_S10_S68_L002_R1_001.fastq.gz,39774542,6005955842,151,5840303129 (97.24%),5585031630 (92.99%),46.67
Ko_CTR_2_S78_L002_R1_001.fastq.gz,3815308,576111508,151,558171813 (96.89%),534271551 (92.74%),64.67
Ko_AZM_2_S81_L002_R2_001.fastq.gz,2377585,359015335,151,339933476 (94.68%),319933843 (89.11%),64.11
Ko_AZM_1_S80_L002_R1_001.fastq.gz,4340826,655464726,151,635831787 (97.0%),608785391 (92.88%),64.28
P2_S15_S73_L002_R2_001.fastq.gz,39029057,5893387607,151,5603372094 (95.08%),5217523620 (88.53%),47.21
Ko_CTR_1_S77_L002_R2_001.fastq.gz,3470585,524058335,151,499284009 (95.27%),469005484 (89.49%),64.31
Ko_CTR_2_S78_L002_R2_001.fastq.gz,3815308,576111508,151,550838419 (95.61%),518747914 (90.04%),64.71
P2_S15_S73_L002_R1_001.fastq.gz,39029057,5893387607,151,5707179894 (96.84%),5441740632 (92.34%),46.71
P2_S1_S59_L002_R1_001.fastq.gz,30343604,4581884204,151,4454725677 (97.22%),4265780835 (93.1%),55.14
Ko_CTR_3_S79_L002_R2_001.fastq.gz,1820267,274860317,151,259024500 (94.24%),241825314 (87.98%),65.65
Ko_AZM_1_S80_L002_R2_001.fastq.gz,4340826,655464726,151,629162157 (95.99%),594912030 (90.76%),64.16
P2_S12_S70_L002_R1_001.fastq.gz,39823079,6013284929,151,5840429888 (97.13%),5582576278 (92.84%),46.87
Ko_CTR_1_S77_L002_R1_001.fastq.gz,3470585,524058335,151,505994953 (96.55%),482691747 (92.11%),64.29
P2_S13_S71_L002_R1_001.fastq.gz,36963458,5581482158,151,5418454651 (97.08%),5174937908 (92.72%),46.84
P2_S13_S71_L002_R2_001.fastq.gz,36963458,5581482158,151,5355649864 (95.95%),5030470881 (90.13%),47.4
P2_S14_S72_L002_R2_001.fastq.gz,37177926,5613866826,151,5399361170 (96.18%),5080230131 (90.49%),47.24
P2_S11_S69_L002_R1_001.fastq.gz,38858923,5867697373,151,5698399436 (97.11%),5448911376 (92.86%),48.11
P2_S1_S59_L002_R2_001.fastq.gz,30343604,4581884204,151,4403798016 (96.11%),4148500527 (90.54%),57.07
P2_S10_S68_L002_R2_001.fastq.gz,39774542,6005955842,151,5752803298 (95.78%),5389923322 (89.74%),47.14
